country_id,winner_id,name,NumMatchWon
ALG,213972,Ines Ibbou,88
ALG,104467,Lamine Ouahab,8
ALG,208603,Amira Benaissa,6
ALG,236986,Ines Bekrar,2
ALG,215724,Lynda Benkaddour,2
ALG,211447,Yassamine Boudjadi,1
ALG,214867,Hanine Boudjadi,1
AND,223286,Victoria Jimenez Kasintseva,25
ARG,105487,Facundo Bagnis,218
ARG,106043,Diego Schwartzman,196
ARG,105643,Federico Delbonis,175
ARG,105948,Federico Coria,173
ARG,206408,Nadia Podoroska,172
ARG,106228,Juan Ignacio Londero,165
ARG,105819,Guido Andreozzi,161
ARG,105477,Marco Trungelliti,151
ARG,105550,Guido Pella,139
ARG,105952,Renzo Olivo,139
ARG,105223,Juan Martin del Potro,126
ARG,105911,Andrea Collarini,123
ARG,202440,Paula Ormaechea,122
ARG,206345,Victoria Bosio,120
ARG,104122,Carlos Berlocq,119
ARG,104919,Leonardo Mayer,118
ARG,214604,Maria Lourdes Carle,114
ARG,106044,Nicolas Kicker,111
ARG,206146,Catalina Pella,109
ARG,104547,Horacio Zeballos,91
ARG,211921,Julieta Lara Estable,84
ARG,106398,Pedro Cachin,83
ARG,106006,Agustin Velotti,79
ARG,106032,Facundo Arguello,75
ARG,144869,Tomas Martin Etcheverry,73
ARG,202103,Francisco Cerundolo,72
ARG,106057,Facundo Mena,68
ARG,126663,Juan Pablo Ficovich,63
ARG,214106,Guillermina Naya,62
ARG,205842,Carla Lucero,60
ARG,220446,Jazmin Ortenzi,58
ARG,104216,Maximo Gonzalez,58
ARG,215140,Eugenia Ganga,55
ARG,200116,Camilo Ugo Carabelli,54
ARG,214136,Melany Solange Krywoj,50
ARG,206343,Stephanie Mariel Petit,48
ARG,206410,Guadalupe Perez Rojas,42
ARG,206147,Sofia Luini,42
ARG,214605,Agustina Chlpac,40
ARG,211920,Martina Capurro Taborda,39
ARG,220699,Julia Riera,39
ARG,202104,Sebastian Baez,36
ARG,207678,Juan Manuel Cerundolo,36
ARG,122536,Juan Pablo Paz,35
ARG,106164,Tomas Lipovsek Puches,33
ARG,202058,Thiago Agustin Tirante,32
ARG,106380,Gonzalo Villanueva,31
ARG,111508,Juan Ignacio Galarza,31
ARG,144821,Genaro Alberto Olivieri,28
ARG,106292,Hernan Casanova,28
ARG,105120,Andres Molteni,28
ARG,106162,Franco Agamenone,25
ARG,105274,Patricio Heras,22
ARG,106352,Matias Franco Descotte,21
ARG,207680,Facundo Diaz Acosta,19
ARG,214554,Paula Baranano,18
ARG,105338,Maximiliano Estevez,18
ARG,104338,Juan Monaco,17
ARG,215989,Andrea Agostina Farulla Di Palma,16
ARG,215717,Candela Bugnon,14
ARG,215158,Maria Del Rosario Vazquez,14
ARG,221333,Solana Sierra,13
ARG,126183,Mariano Kestelboim,13
ARG,221334,Juana Larranaga,12
ARG,105160,Guillermo Duran,12
ARG,215159,Victoria Ariadna Beccio,11
ARG,211442,Daniela Farfan,10
ARG,125825,Matias Zukas,10
ARG,205837,Melina Ferrero,10
ARG,222607,Betina Buris,10
ARG,215461,Delfina Glorioso,10
ARG,222300,Camila Antonella Neyra,10
ARG,210256,Maria Daniela Frascini,8
ARG,206341,Maria Constanza De Las Mercedes Vega,8
ARG,202413,Florencia Molinero,8
ARG,126664,Manuel Pena Lopez,8
ARG,216572,Maria Jazmin Amicuzi,8
ARG,214090,Maria Jose Zehnder,7
ARG,206406,Berta Bonardi,7
ARG,214105,Rocio Daniela Merlo,7
ARG,219909,Dolores Molina Portela,7
ARG,216124,Valentina Abrile,6
ARG,202395,Maria Irigoyen,5
ARG,224485,Lucia Peyre,5
ARG,105607,Gabriel Alejandro Hidalgo,5
ARG,221331,Merlina Sarno,5
ARG,126273,Jordi Arconada,4
ARG,106431,Francisco Bahamonde,4
ARG,221702,Nicole Poj,4
ARG,222688,Sofia Constanza Karlau,4
ARG,211601,Lucia Zelenka,4
ARG,122538,Nicolas Alberto Arreche,4
ARG,236963,Carolina Coletti,4
ARG,122571,Franco Emanuel Egea,4
ARG,211680,Camila Tumosa,4
ARG,219403,Ornella Marcela Spinetta,4
ARG,222839,Valentina Mutilba,3
ARG,144973,Santiago Fa Rodriguez Taverna,3
ARG,215991,Ana Geller,3
ARG,210365,Tatiana Carpio,3
ARG,222644,Sol Faga,3
ARG,222649,Martina Maria Bovio,3
ARG,203364,Tatiana Bua,3
ARG,220925,Constanza Cruz,3
ARG,220698,Agostina Landa,3
ARG,222659,Luciana Blatter,3
ARG,106182,Dante Gennaro,3
ARG,222647,Daiana Postay,3
ARG,202105,Axel Geller,3
ARG,222652,Sofia Magaly Sanchez,3
ARG,206405,Sofia Blanco,2
ARG,220448,Emma Erin Kiernan,2
ARG,221447,Chiara Desia Dabarno,2
ARG,236966,Martina Belen Roldan Santander,2
ARG,221335,Paula Corbalan,2
ARG,210362,Francesca Rescaldani,2
ARG,220928,Sofia Nahiara Garcia,2
ARG,122441,Juan Manuel Matute,2
ARG,236972,Luisina Giovannini,2
ARG,221444,Martina Josefina Zarza,2
ARG,105771,Nicolas Alejandro De Gregorio,2
ARG,236969,Valentina Urraco,2
ARG,220700,Miyumi Milagros Saguchi,2
ARG,222643,Aldana Dominguez,1
ARG,221414,Chiara Di Genova,1
ARG,211835,Macarena Asensos,1
ARG,202305,Franco Ribero,1
ARG,220926,Lara Rosario De Faveri,1
ARG,221445,Maria Agostina Liccardi Sanudo,1
ARG,208078,Tomas Farjat,1
ARG,202106,Juan Bautista Otegui,1
ARG,237457,Sofia Vivas,1
ARG,106301,Mateo Nicolas Martinez,1
ARG,222642,Renata Gregorutti,1
ARG,220444,Agustina Rimoldi Godoy,1
ARG,222656,Valentina Domenicone,1
ARG,214107,Sofia Haydee Nicolini,1
ARG,122341,Sebastian Exequiel Pini,1
ARG,205938,Carolina Zeballos,1
ARG,220802,Milagros Jaime,1
ARG,110762,Alan Kohen,1
ARG,222840,Natalia Aruj,1
ARG,220447,Maria Florencia Urrutia,1
ARG,133467,Tomas Gerini,1
ARG,222655,Maria Victoria Marchesini,1
ARG,200434,Santiago Besada,1
ARG,214137,Lourdes Ramalle,1
ARG,220318,Francesca M Fanchin,1
ARG,122672,Juan Ignacio Ameal,1
ARG,221676,Ludmila Magali Alvez,1
ARG,206157,Nicolas Bianchi,1
ARG,236965,Angeles Maria Cueto,1
ARG,222640,Lucero Noeli Monsalvo,1
ARG,236964,Tania Sfilio,1
ARG,236968,Lourdes Ayala,1
ARG,124206,Juan Montes,1
ARM,206060,Ani Amiraghyan,61
ARM,215544,Gabriella Akopian,3
ARM,216183,Marina Davtyan,2
ARM,215546,Arevik Tumanyan,1
ARM,222024,Evelina Martirosyan,1
AUS,202458,Ashleigh Barty,211
AUS,111442,Jordan Thompson,201
AUS,200282,Alex De Minaur,164
AUS,105357,John Millman,157
AUS,214191,Seone Mendez,137
AUS,105902,James Duckworth,137
AUS,106401,Nick Kyrgios,132
AUS,106109,Alex Bolt,130
AUS,200615,Alexei Popyrin,125
AUS,201548,Ajla Tomljanovic,124
AUS,211878,Lizette Cabrera,119
AUS,206292,Astra Sharma,117
AUS,105051,Matthew Ebden,116
AUS,117361,Akira Santillan,115
AUS,117360,Marc Polmans,114
AUS,105441,John Patrick Smith,111
AUS,206362,Naiktha Bains,111
AUS,215018,Destanee Aiava,110
AUS,201611,Daria Gavrilova,110
AUS,126845,Max Purcell,107
AUS,211880,Priscilla Hon,105
AUS,213666,Maddison Inglis,105
AUS,201542,Olivia Rogowska,104
AUS,106071,Bernard Tomic,101
AUS,206391,Ellen Perez,100
AUS,201325,Samantha Stosur,98
AUS,126846,Aleksandar Vukic,96
AUS,206390,Isabelle Wallace,92
AUS,215096,Jaimee Fourlis,92
AUS,106291,Luke Saville,92
AUS,106331,Christopher O'Connell,89
AUS,104594,Marinko Matosevic,88
AUS,106186,Jason Kubler,88
AUS,205923,Abbie Myers,75
AUS,105454,Brydan Klein,75
AUS,211881,Olivia Tjandramulia,75
AUS,106423,Thanasi Kokkinakis,72
AUS,211941,Zoe Hives,68
AUS,204411,Storm Sanders,66
AUS,106302,Andrew Harris,62
AUS,105974,Maverick Banes,55
AUS,215804,Kaylah Mcphee,54
AUS,105595,Dayne Kelly,54
AUS,202539,Alison Bai,52
AUS,215811,Alexandra Bozovic,52
AUS,106225,Andrew Whittington,50
AUS,213599,Jelena Stojanovic,48
AUS,220735,Tina Nadine Smith,48
AUS,216265,Olivia Gadecki,48
AUS,213541,Alexandra Osborne,46
AUS,105032,Sam Groth,43
AUS,204412,Belinda Woolcock,43
AUS,214239,Sara Tomic,43
AUS,219940,Ivana Popovic,42
AUS,215832,Gabriella Da Silva Fick,41
AUS,105881,Matthew Barton,41
AUS,111451,Bradley Mousley,40
AUS,214040,Kimberly Birrell,39
AUS,203526,Tammi Patterson,35
AUS,106425,Blake Mott,34
AUS,110757,Jacob Grills,34
AUS,117358,Harry Bourchier,33
AUS,215189,Alana Parnaby,31
AUS,215440,Alicia Smith,30
AUS,214045,Masa Jovanovic,27
AUS,220904,Amber Marshall,27
AUS,117357,Omar Jasika,26
AUS,105286,Greg Jones,24
AUS,211751,Alexandra Walters,23
AUS,206357,Angelique Svinos,22
AUS,134329,Blake Ellis,21
AUS,216090,Michaela Haet,20
AUS,126573,Thomas Fancutt,20
AUS,216355,Giorgie Jones,18
AUS,106093,Benjamin Mitchell,17
AUS,105965,Gavin Van Peperzeel,17
AUS,201487,Jessica Moore,17
AUS,211879,Samantha Harris,16
AUS,221046,Ramona Mataruga,13
AUS,216397,Laura Ashley,13
AUS,105591,Matt Reid,13
AUS,111452,James Frawley,12
AUS,106254,Calum Puttergill,11
AUS,105429,Scott Puodziunas,10
AUS,221125,Bojana Marinkov,10
AUS,221861,Jessica Fowler,10
AUS,221857,Miranda Poile,10
AUS,221026,Zara Brankovic,10
AUS,221392,Angelina Graovac,9
AUS,200039,Matthew Christopher Romios,9
AUS,110727,Jarryd Chaplin,9
AUS,221860,Olivia Symons,9
AUS,124040,Colin Sinclair,9
AUS,122059,Steven De Waard,9
AUS,221045,Annerly Poulos,8
AUS,220052,Isabella Bozicevic,8
AUS,208013,Dane Sweeny,8
AUS,124049,Daniel Nolan,8
AUS,105050,Michael Look,8
AUS,220353,Lisa Mays,8
AUS,201370,Anastasia Rodionova,7
AUS,105765,Mark Verryth,7
AUS,216321,Genevieve Lorbergs,7
AUS,200003,Jeremy Beale,7
AUS,111360,Edward Bourchier,7
AUS,111446,Alexander Babanine,7
AUS,221356,Caitlyn Portela,7
AUS,221761,Charlotte Kempenaers Pocz,6
AUS,105525,Dane Propoggia,6
AUS,117359,Jake Delaney,6
AUS,200466,Alexander Crnokrak,5
AUS,220801,Noelleda Ah San,5
AUS,221889,Chiara Di Tommaso,5
AUS,209262,Tristan Schoolkate,5
AUS,221859,Cyan Sun,4
AUS,223024,Grace Schumacher,4
AUS,117352,Oliver Anderson,4
AUS,206361,Nicole Hoynaski,4
AUS,221882,Taylah Lawless,4
AUS,132137,Tomislav Edward Papac,4
AUS,219740,Madison Frahn,4
AUS,221300,Chloe Isabella Tsang,4
AUS,125804,Brandon Walkin,4
AUS,222696,Roopa Bains,4
AUS,201410,Monique Adamczak,4
AUS,221027,Anastasia Berezov,4
AUS,221862,Sophia Fry,4
AUS,221762,Olivia Ley,4
AUS,211924,Andrea Dikosavljevic,4
AUS,216157,Mary Liu,3
AUS,223183,Mia Repac,3
AUS,221881,Lexie Weir,3
AUS,201457,Jarmila Gajdosova,3
AUS,126498,Damian Farinola,3
AUS,221863,Jasmine Adams,3
AUS,214708,Georgiana Ruhrig,3
AUS,221866,Tamara Bajagic,3
AUS,221872,Rebecca Jones,3
AUS,126575,Brian Tran,3
AUS,221883,Talia Gibson,3
AUS,200663,James Ibrahim,3
AUS,205884,Alexandra Cannizzaro,3
AUS,221858,Natasha Russell,3
AUS,103782,Rameez Junaid,3
AUS,204298,Viktorija Rajicic,3
AUS,207854,Jayden Court,3
AUS,223076,Elizabeth James,3
AUS,239397,Elena Micic,3
AUS,221884,Natasha Camer Pesci,3
AUS,124050,Darren K Polkinghorne,3
AUS,126574,Daniel Hobart,3
AUS,223204,Kelsey Lewis,3
AUS,124045,Lawrence Bataljin,3
AUS,201607,Sally Peers,2
AUS,222680,Darcy Parke,2
AUS,200660,Thomas Bosancic,2
AUS,216259,Renee McBryde,2
AUS,223160,Catherine Aulia,2
AUS,202354,Matthew Dellavedova,2
AUS,222848,Helena Spiridis,2
AUS,221865,Meeka Marshall,2
AUS,202322,Erik Holt Crossman,2
AUS,215889,Kaitlin Staines,2
AUS,221873,Nakisa Djamshidi,2
AUS,214110,Emily Burns,2
AUS,132124,Aaron Addison,2
AUS,221874,Angelina Subotic,2
AUS,208014,Rinky Hijikata,2
AUS,223188,Ella Nurkic,2
AUS,200640,Lucas Vuradin,2
AUS,221867,Evana Bowell,2
AUS,221880,Crystal Mildwaters,2
AUS,200512,Patrick Fitzgerald,1
AUS,238076,Ana Prso,1
